New socket connections
PID, TGID
69143, 69143
69143, 69143
69143, 69144
69143, 69144
69143, 69144
69143, 69144
69143, 69144
69143, 69144
69143, 69144
69143, 69144
69143, 69144
69143, 69144
69143, 69144
69143, 69143
69143, 69143
69143, 69143
46676, 46684
46676, 46684
46676, 46684
46676, 46684
46676, 46684
46676, 46684
51556, 67904
51556, 67904
51556, 67904
51556, 67904
485, 485
485, 485
485, 485
485, 485
485, 485
485, 485
485, 485
485, 485
51556, 68666
51556, 68666
51556, 68666
51556, 68666
51556, 51645
51556, 51645
51556, 51645
51556, 67904
51556, 67904
51556, 67904
51556, 67904
51556, 67904
51556, 67904
51556, 67904
485, 485
485, 485
485, 485
485, 485
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
564, 564
46676, 46684
46676, 46684
46676, 46684
46676, 69175
46676, 69175
46676, 69175
46676, 69175
485, 485
485, 485
485, 485
485, 485
46676, 69175
46676, 69175
46676, 69175
46676, 69175
46676, 69175
46676, 69175
46676, 69175
46676, 69175
46676, 69175
46676, 69175
46676, 69175
46676, 69175
46676, 69175
46676, 69175
46676, 69175
46676, 69175
46676, 69175
46676, 69175
46676, 69175
46676, 69175
46676, 46684
46676, 46684
46676, 46684
46676, 46684
51556, 68666
51556, 68666
51556, 68666
51556, 68666
485, 485
485, 485
485, 485
485, 485
485, 485
485, 485
485, 485
485, 485
485, 485
485, 485
485, 485
485, 485
51556, 51645
51556, 51645
51556, 51645
51556, 51645
51556, 51645
51556, 51645
51556, 67904
51556, 67904
51556, 67904
51556, 67904
51556, 68666
51556, 68666
51556, 68666
51556, 68666
485, 485
485, 485
485, 485
485, 485
485, 485
485, 485
485, 485
485, 485
51556, 51645
51556, 51645
51556, 51645
51556, 51645
51556, 51645
51556, 51645
485, 485
485, 485
485, 485
485, 485
51556, 68666
51556, 68666
51556, 68666
51556, 68666
485, 485
485, 485
485, 485
485, 485
51556, 67904
51556, 67904
51556, 67904
51556, 67904
485, 485
485, 485
485, 485
485, 485
485, 485
485, 485
485, 485
485, 485
485, 485
485, 485
485, 485
485, 485
51556, 51645
51556, 51645
51556, 51645
51556, 68666
51556, 68666
51556, 68666
51556, 68666
485, 485
485, 485
485, 485
485, 485
